0,69
1,69
2,68
3,69
4,72
5,65
6,66
7,73
8,134
9,154
-0.715538,69
0.284462,70
1.28446,68
2.28446,69
3.28446,74
4.28446,68
5.28446,70
6.28446,78
7.28446,143
8.28446,156
-1.43108,71
-0.431075,68
0.568925,71
1.56892,68
2.56892,68
3.56892,67
4.56892,64
5.56892,98
6.56892,152
7.56892,151
-2.14661,71
-1.14661,70
-0.146613,71
0.853387,69
1.85339,68
2.85339,66
3.85339,66
4.85339,109
5.85339,155
6.85339,151
-2.86215,71
-1.86215,70
-0.86215,71
0.13785,69
1.13785,67
2.13785,65
3.13785,70
4.13785,124
5.13785,158
6.13785,151
-3.57769,71
-2.57769,69
-1.57769,70
-0.577688,69
0.422312,67
1.42231,63
2.42231,77
3.42231,139
4.42231,157
5.42231,150
-4.29323,70
-3.29323,68
-2.29323,70
-1.29323,70
-0.293225,68
0.706775,64
1.70677,90
2.70677,150
3.70677,153
4.70677,150
-5.00876,70
-4.00876,69
-3.00876,71
-2.00876,71
-1.00876,70
-0.00876297,66
0.991237,106
1.99124,157
2.99124,151
3.99124,150
-5.7243,70
-4.7243,70
-3.7243,72
-2.7243,71
-1.7243,70
-0.724301,66
0.275699,120
1.2757,161
2.2757,150
3.2757,149
-6.43984,70
-5.43984,70
-4.43984,72
-3.43984,70
-2.43984,69
-1.43984,66
-0.439838,129
0.560162,162
1.56016,149
2.56016,149
-7.15538,70
-6.15538,71
-5.15538,70
-4.15538,67
-3.15538,61
-2.15538,85
-1.15538,141
-0.155376,163
0.844624,149
1.84462,149
-7.87091,71
-6.87091,72
-5.87091,71
-4.87091,70
-3.87091,64
-2.87091,94
-1.87091,148
-0.870913,162
0.129087,149
1.12909,149
-8.58645,71
-7.58645,72
-6.58645,70
-5.58645,70
-4.58645,65
-3.58645,105
-2.58645,155
-1.58645,158
-0.586451,148
0.413549,149
-9.30199,71
-8.30199,73
-7.30199,70
-6.30199,69
-5.30199,68
-4.30199,117
-3.30199,160
-2.30199,154
-1.30199,148
-0.301988,149
-10.0175,71
-9.01753,74
-8.01753,70
-7.01753,69
-6.01753,75
-5.01753,130
-4.01753,161
-3.01753,153
-2.01753,150
-1.01753,149
-10.7331,71
-9.73306,73
-8.73306,69
-7.73306,68
-6.73306,83
-5.73306,140
-4.73306,158
-3.73306,152
-2.73306,149
-1.73306,149
-11.4486,71
-10.4486,71
-9.4486,67
-8.4486,67
-7.4486,92
-6.4486,148
-5.4486,152
-4.4486,151
-3.4486,148
-2.4486,149
-12.1641,71
-11.1641,71
-10.1641,68
-9.16414,68
-8.16414,100
-7.16414,154
-6.16414,151
-5.16414,152
-4.16414,149
-3.16414,149
-12.8797,75
-11.8797,75
-10.8797,68
-9.87968,70
-8.87968,114
-7.87968,154
-6.87968,155
-5.87968,149
-4.87968,151
-3.87968,149
-13.5952,75
-12.5952,75
-11.5952,70
-10.5952,76
-9.59521,125
-8.59521,156
-7.59521,153
-6.59521,149
-5.59521,150
-4.59521,150
